Year,Florida,Idaho,Illinois,Minessota,Wyoming
2015,64218.5272,11236.5039,95157.1094,39349.9332,60593.186
2016,65509.5426,11452.8311,98338.4328,40516.8985,62750.8244
2017,66781.301,11662.4969,101516.5749,41682.6967,64871.245
2018,68034.0897,11865.7063,104691.5389,42847.3292,66955.0898
2019,69268.1914,12062.6581,107863.3279,44010.797,69002.9896
2020,70483.885,12253.5452,111031.9452,45173.1014,71015.5645
2021,71681.4452,12438.5541,114197.3938,46334.2435,72993.4238
2022,72861.1422,12617.866,117359.6769,47494.2244,74937.1664
2023,74023.2427,12791.6563,120518.7978,48653.0454,76847.3807
2024,75168.009,12960.0949,123674.7596,49810.7075,78724.6451
2025,76295.6998,13123.3468,126827.5654,50967.2119,80569.5279
2026,77406.5697,13281.5715,129977.2184,52122.5599,82382.5877
2027,78500.8696,13434.924,133123.7217,53276.7525,84164.3735
2028,79578.8467,13583.5542,136267.0785,54429.7909,85915.4246
2029,80640.7446,13727.6075,139407.292,55581.6763,87636.2712
2030,81686.8029,13867.225,142544.3653,56732.4098,89327.4344
2031,82717.258,14002.5432,145678.3015,57881.9926,90989.4262
2032,83732.3426,14133.6944,148809.1037,59030.4257,92622.7497
2033,84732.286,14260.807,151936.7752,60177.7105,94227.8995
2034,85717.3141,14384.0054,155061.3189,61323.8479,95805.3615
2035,86687.6493,14503.4101,158182.7382,62468.8393,97355.6133
2036,87643.5108,14619.1379,161301.036,63612.6856,98879.1244
2037,88585.1144,14731.3021,164416.2155,64755.3881,100376.3558
2038,89512.6729,14840.0123,167528.2799,65896.9479,101847.7611
2039,90426.3958,14945.3749,170637.2321,67037.3661,103293.7855
2040,91326.4893,15047.4931,173743.0755,68176.6439,104714.867
2041,92213.1569,15146.4667,176845.813,69314.7824,106111.4358
2042,93086.5988,15242.3926,179945.4477,70451.7828,107483.9147
2043,93947.0122,15335.3645,183041.9828,71587.6462,108832.7193
2044,94794.5916,15425.4736,186135.4214,72722.3737,110158.2579
2045,95629.5282,15512.8078,189225.7665,73855.9665,111460.9318
2046,96452.0108,15597.4528,192313.0213,74988.4257,112741.1355
2047,97262.2251,15679.4912,195397.1888,76119.7525,113999.2565
2048,98060.354,15759.0034,198478.2722,77249.9479,115235.6758
2049,98846.5779,15836.0671,201556.2745,78379.0131,116450.7676
2050,99621.0743,15910.7578,204631.1988,79506.9492,117644.9
2051,100384.0182,15983.1484,207703.0481,80633.7575,118818.4343
2052,101135.5819,16053.31,210771.8256,81759.4389,119971.7259
2053,101875.935,16121.311,213837.5344,82883.9946,121105.1241
2054,102605.245,16187.218,216900.1774,84007.4258,122218.9719
2055,103323.6763,16251.0955,219959.7578,85129.7335,123313.6065
2056,104031.3914,16313.006,223016.2786,86250.919,124389.3594
2057,104728.5501,16373.01,226069.7428,87370.9832,125446.5563
2058,105415.3099,16431.1664,229120.1537,88489.9274,126485.5173
2059,106091.8257,16487.5319,232167.5141,89607.7526,127506.5569
2060,106758.2506,16542.1617,235211.8271,90724.4601,128509.9842
2061,107414.7349,16595.1092,238253.0958,91840.0508,129496.1031
2062,108061.4269,16646.4263,241291.3233,92954.5259,130465.212
2063,108698.4728,16696.1632,244326.5125,94067.8865,131417.6045
2064,109326.0163,16744.3685,247358.6666,95180.1338,132353.5689
2065,109944.1993,16791.0895,250387.7884,96291.2689,133273.3885
